TASK_VEHICLETYPE_ID,TASK_ID,VEHICLETYPE_NAME
7641,6401,NCUB 混动PHEV
7642,6385,NCUB 混动PHEV
7863,6581,C1UL 混动PHEV
7763,6461,NCUB 混动PHEV
7903,6601,NDLB 电动车
8104,6762,NCUB 混动PHEV
8066,6743,NCUB 混动PHEV
8103,6761,NDLB 电动车
8143,6801,NDLB 电动车
8205,6821,NDLB 电动车
8182,6841,NCUB 混动PHEV
8202,6861,NCUB 混动PHEV
861,704,SGM557 混动PHEV
988,711,SGM557 混动PHEV
994,713,SGM557 混动PHEV
1011,748,SGM557 混动PHEV
1406,982,SGM557 混动PHEV
1321,915,SGM557 混动PHEV
1424,1003,SGM557 混动PHEV
1421,1001,SGM557 混动PHEV
1422,1002,SGM557 混动PHEV
1431,1005,SGM557 混动PHEV
1427,1004,SGM557 混动PHEV
1432,1006,SGM557 混动PHEV
1522,1122,SGM557 混动PHEV
1526,1121,SGM557 混动PHEV
1743,1301,SGM557 混动PHEV
1794,1348,SGM557 混动PHEV
1763,1321,SGM557 混动PHEV
2116,1602,SGM557 混动PHEV
1797,1351,SGM557 混动PHEV
1798,1352,SGM557 混动PHEV
1832,1361,SGM557 混动PHEV
1802,1354,SGM557 混动PHEV
1840,1368,SGM557 混动PHEV
1838,1367,SGM557 混动PHEV
2214,1647,SGM557 混动PHEV
1850,1373,SGM557 混动PHEV
2139,1609,SGM557 混动PHEV
2144,1611,SGM557 混动PHEV
2203,1641,SGM557 混动PHEV
2261,1624,SGM557 混动PHEV
2400,1804,SGM557 电动车
2323,1743,SGM557 混动PHEV
2445,1845,SGM557 混动PHEV
2483,1864,SGM557 混动PHEV
2547,1904,SGM557 混动PHEV
2551,1905,SGM557 混动PHEV
2561,1902,SGM557 混动PHEV
2584,1942,SGM557 混动PHEV
2622,1945,SGM557 混动PHEV
2640,1949,SGM557 混动PHEV
2845,2161,SGM557 混动PHEV
2723,2061,SGM557 混动PHEV
2726,2063,SGM557 混动PHEV
2728,2064,SGM557 混动PHEV
2801,2121,TESTV
2824,2122,SGM557 混动PHEV
2903,2222,SGM557 混动PHEV
2922,2241,SGM557 混动PHEV
2983,2302,SGM557 混动PHEV
3046,2344,SGM557 混动PHEV
3051,2347,SGM557 混动PHEV
3147,2463,SGM557 混动PHEV
3068,2361,SGM557 混动PHEV
3251,2541,SGM557 混动PHEV
3604,2821,SGM557 混动PHEV
4021,3201,SGM557 混动PHEV
4790,3881,SGM557 混动PHEV
4231,3281,SGM557 混动PHEV
4304,3441,SGM557 混动PHEV
4445,3581,SGM557 混动PHEV
4762,3841,NDLB 增程式EREV
4782,3862,SGM557 混动PHEV
4791,3882,B233 电动车
4877,3939,SGM557 电动车
4879,3940,NDLB 增程式EREV
5001,4001,SGM557 混动PHEV
5010,4043,SGM557 混动PHEV
5262,4261,SGM557 电动车
5183,4161,NDLB 增程式EREV
5265,4263,NDLB 增程式EREV
5268,4264,NDLB 增程式EREV
5301,4281,NDLB 增程式EREV
5266,4262,NDLB 增程式EREV
5357,4324,NDLB 增程式EREV
5355,4323,NDLB 增程式EREV
5463,4401,NDLB 增程式EREV
5581,4507,NDLB 增程式EREV
5484,4412,NDLB 增程式EREV
5833,4725,SGM557 电动车
5568,4501,SGM557 混动PHEV
5579,4505,NDLB 增程式EREV
5571,4503,NDLB 增程式EREV
5572,4502,SGM557 混动PHEV
5784,4681,NDLB 增程式EREV
5796,4661,SGM557 电动车
5792,4684,SGM557 电动车
5848,4742,NDLB 增程式EREV
