TASK_VEHICLE_ID,TASK_VEHICLETYPE_ID,VEHICLE_ID,TASK_ID,VIN,VIN_PATAC_ID,RMU_CODE,STATE,EXTRA1,EXTRA2,EXTRA3,IS_DEL,UPDATE_TIME
2466,972,318801023,725,LSGUN8P52RA033726,UM26OV034,6382038,0,,,,0,
2467,972,318801024,725,LSGUN8N50RA033727,UM26OV035,6381811,0,,,,0,
2468,972,318801053,725,LSGUN8P55RA033722,UM26OV030,6382087,0,,,,0,
2130,881,318801053,727,LSGUN8P55RA033722,UM26OV030,6382087,0,,,,0,
2131,881,318801011,727,LSGUN8N53RA033723,UM26OV031,6382040,0,,,,0,
2132,881,318801023,727,LSGUN8P52RA033726,UM26OV034,6382038,0,,,,0,
2133,881,318801024,727,LSGUN8N50RA033727,UM26OV035,6381811,0,,,,0,
2154,887,318801053,726,LSGUN8P55RA033722,UM26OV030,6382087,0,,,,0,
2155,887,318801011,726,LSGUN8N53RA033723,UM26OV031,6382040,0,,,,0,
2156,887,318801023,726,LSGUN8P52RA033726,UM26OV034,6382038,0,,,,0,
2157,887,318801024,726,LSGUN8N50RA033727,UM26OV035,6381811,0,,,,0,
2465,972,318801011,725,LSGUN8N53RA033723,UM26OV031,6382040,0,,,,0,
2427,962,318801024,717,LSGUN8N50RA033727,UM26OV035,6381811,0,,,,0,
2428,962,318801053,717,LSGUN8P55RA033722,UM26OV030,6382087,0,,,,0,
2449,968,318801023,720,LSGUN8P52RA033726,UM26OV034,6382038,0,,,,0,
2450,968,318801024,720,LSGUN8N50RA033727,UM26OV035,6381811,0,,,,0,
2451,968,318801053,720,LSGUN8P55RA033722,UM26OV030,6382087,0,,,,0,
2607,1008,318801023,747,LSGUN8P52RA033726,UM26OV034,6382038,0,,,,0,
1870,816,318801053,673,LSGUN8P55RA033722,UM26OV030,6382087,0,,,,0,
1854,812,318801053,670,LSGUN8P55RA033722,UM26OV030,6382087,0,,,,0,
1855,812,318801011,670,LSGUN8N53RA033723,UM26OV031,6382040,0,,,,0,
1856,812,318801023,670,LSGUN8P52RA033726,UM26OV034,6382038,0,,,,0,
1857,812,318801024,670,LSGUN8N50RA033727,UM26OV035,6381811,0,,,,0,
1862,814,318801011,672,LSGUN8N53RA033723,UM26OV031,6382040,0,,,,0,
1863,814,318801023,672,LSGUN8P52RA033726,UM26OV034,6382038,0,,,,0,
1864,814,318801024,672,LSGUN8N50RA033727,UM26OV035,6381811,0,,,,0,
1865,814,318801053,672,LSGUN8P55RA033722,UM26OV030,6382087,0,,,,0,
2452,968,318801011,720,LSGUN8N53RA033723,UM26OV031,6382040,0,,,,0,
1871,816,318801011,673,LSGUN8N53RA033723,UM26OV031,6382040,0,,,,0,
1872,816,318801023,673,LSGUN8P52RA033726,UM26OV034,6382038,0,,,,0,
1873,816,318801024,673,LSGUN8N50RA033727,UM26OV035,6381811,0,,,,0,
2597,1005,318801011,719,LSGUN8N53RA033723,UM26OV031,6382040,0,,,,0,
2598,1005,318801023,719,LSGUN8P52RA033726,UM26OV034,6382038,0,,,,0,
2599,1005,318801024,719,LSGUN8N50RA033727,UM26OV035,6381811,0,,,,0,
2469,973,318801011,716,LSGUN8N53RA033723,UM26OV031,6382040,0,,,,0,
2600,1005,318801053,719,LSGUN8P55RA033722,UM26OV030,6382087,0,,,,0,
2608,1008,318801053,747,LSGUN8P55RA033722,UM26OV030,6382087,0,,,,0,
2609,1008,318801011,747,LSGUN8N53RA033723,UM26OV031,6382040,0,,,,0,
2083,869,318801011,721,LSGUN8N53RA033723,UM26OV031,6382040,0,,,,0,
2470,973,318801023,716,LSGUN8P52RA033726,UM26OV034,6382038,0,,,,0,
2471,973,318801024,716,LSGUN8N50RA033727,UM26OV035,6381811,0,,,,0,
2472,973,318801053,716,LSGUN8P55RA033722,UM26OV030,6382087,0,,,,0,
2084,869,318801023,721,LSGUN8P52RA033726,UM26OV034,6382038,0,,,,0,
2085,869,318801024,721,LSGUN8N50RA033727,UM26OV035,6381811,0,,,,0,
2082,869,318801053,721,LSGUN8P55RA033722,UM26OV030,6382087,0,,,,0,
2050,861,318801023,704,LSGUN8P52RA033726,UM26OV034,6382038,0,,,,0,
2051,861,318801053,704,LSGUN8P55RA033722,UM26OV030,6382087,0,,,,0,
2052,861,318801024,704,LSGUN8N50RA033727,UM26OV035,6381811,0,,,,0,
2053,861,318801011,704,LSGUN8N53RA033723,UM26OV031,6382040,0,,,,0,
2618,1011,318801011,748,LSGUN8N53RA033723,UM26OV031,6382040,0,,,,0,
2619,1011,318801023,748,LSGUN8P52RA033726,UM26OV034,6382038,0,,,,0,
