TASK_RULE_ID,TASK_ID,RULE_NAME,RULE_DESCRIPTION,RULE_MODE,START_EXPRESSION,START_EXPRESSION_CONVERT,START_EXPRESSION_ID,START_EXPRESSION_PARAM,END_EXPRESSION,END_EXPRESSION_CONVERT,END_EXPRESSION_ID,END_EXPRESSION_PARAM,JUDGE_EXPRESSION,JUDGE_EXPRESSION_CONVERT,JUDGE_EXPRESSION_ID,JUDGE_EXPRESSION_PARAM,RULE_TYPE,RULE_END_TIME,RBF_BEFORE_TIME,RBF_AFTER_TIME,RULE_SIGNALS,OTHER_SIGNALS
2661,718,充电时间信号统计30-80_latch,充电时间信号统计30-80_latch,1,"Latch_On_With_Reset(abs(HVBSOC_BatSOC-10)<2&&HiVltgBatChrgCordCnctdIndOn == 1,HiVltgBatChrgCordCnctdIndOn == 0)&&HVBSOC_BatSOC>=10&&(HVBSOC_BatSOC<=30)&&Debounce(HiVltgBatPrcdCurr>2,10)&&HiVltgBatChrgCordCnctdIndOn == 1","Latch_On_With_Reset(20,abs(HVBSOC_BatSOC-10)<2&&HiVltgBatChrgCordCnctdIndOn == 1,HiVltgBatChrgCordCnctdIndOn == 0)&&HVBSOC_BatSOC>=10&&(HVBSOC_BatSOC<=30)&&Debounce(165,HiVltgBatPrcdCurr>2,10)&&HiVltgBatChrgCordCnctdIndOn == 1",,,,,,,"range_max_min(HiVltgBatPrcdCurr,HVBSOC_BatSOC,HiVltgBatAvgTemp,OtsAirTmpCrVal,HiVltgBatMinCellVltg,HiVltgBatMaxCellVltg,abs(HiVltgBatMaxCellVltg-HiVltgBatMinCellVltg))","range_max_min(HiVltgBatPrcdCurr,HVBSOC_BatSOC,HiVltgBatAvgTemp,OtsAirTmpCrVal,HiVltgBatMinCellVltg,HiVltgBatMaxCellVltg,abs(HiVltgBatMaxCellVltg-HiVltgBatMinCellVltg))",,,0,,,,"163960,163962,166904,166910,167007,167798,168077",167012
2662,718,充电时间累计80-100_latch,充电时间累计80-100_latch,1,"Latch_On_With_Reset(abs(HVBSOC_BatSOC-80)<2&&HiVltgBatChrgCordCnctdIndOn == 1,HiVltgBatChrgCordCnctdIndOn == 0)&&HVBSOC_BatSOC>=80&&(HVBSOC_BatSOC<=100)&&Debounce(HiVltgBatPrcdCurr>2,10)&&HiVltgBatChrgCordCnctdIndOn == 1","Latch_On_With_Reset(20,abs(HVBSOC_BatSOC-80)<2&&HiVltgBatChrgCordCnctdIndOn == 1,HiVltgBatChrgCordCnctdIndOn == 0)&&HVBSOC_BatSOC>=80&&(HVBSOC_BatSOC<=100)&&Debounce(166,HiVltgBatPrcdCurr>2,10)&&HiVltgBatChrgCordCnctdIndOn == 1",,,,,,,time_accum(),time_accum(),,,0,,,,"159857,162181,163859",
2663,718,充电时间信号统计80-100_latch,充电时间信号统计80-100_latch,1,"Latch_On_With_Reset(abs(HVBSOC_BatSOC-80)<2&&HiVltgBatChrgCordCnctdIndOn == 1,HiVltgBatChrgCordCnctdIndOn == 0)&&HVBSOC_BatSOC>=80&&(HVBSOC_BatSOC<=100)&&Debounce(HiVltgBatPrcdCurr>2,10)&&HiVltgBatChrgCordCnctdIndOn == 1","Latch_On_With_Reset(20,abs(HVBSOC_BatSOC-80)<2&&HiVltgBatChrgCordCnctdIndOn == 1,HiVltgBatChrgCordCnctdIndOn == 0)&&HVBSOC_BatSOC>=80&&(HVBSOC_BatSOC<=100)&&Debounce(166,HiVltgBatPrcdCurr>2,10)&&HiVltgBatChrgCordCnctdIndOn == 1",,,,,,,"range_max_min(HiVltgBatPrcdCurr,HVBSOC_BatSOC,HiVltgBatAvgTemp,OtsAirTmpCrVal,HiVltgBatMinCellVltg,HiVltgBatMaxCellVltg,abs(HiVltgBatMaxCellVltg-HiVltgBatMinCellVltg))","range_max_min(HiVltgBatPrcdCurr,HVBSOC_BatSOC,HiVltgBatAvgTemp,OtsAirTmpCrVal,HiVltgBatMinCellVltg,HiVltgBatMaxCellVltg,abs(HiVltgBatMaxCellVltg-HiVltgBatMinCellVltg))",,,0,,,,"159857,160111,162181,163577,163859,163960,163962,166904,167798",163864
2664,718,电芯分布统计1_Soc<=30,小电流时电芯电压分布Soc<=30,1,"HVBSOC_BatSOC<=30&&Debounce(HiVltgBatPrcdCurr>-4&&HiVltgBatPrcdCurr<2,120)","HVBSOC_BatSOC<=30&&Debounce(28,HiVltgBatPrcdCurr>-4&&HiVltgBatPrcdCurr<2,120)",,,,,,,"range_max_min(HiVltgBatPrcdCurr,HVBSOC_BatSOC,HiVltgBatAvgTemp,OtsAirTmpCrVal,HiVltgBatMinCellVltg,HiVltgBatMaxCellVltg,abs(HiVltgBatMaxCellVltg-HiVltgBatMinCellVltg))","range_max_min(HiVltgBatPrcdCurr,HVBSOC_BatSOC,HiVltgBatAvgTemp,OtsAirTmpCrVal,HiVltgBatMinCellVltg,HiVltgBatMaxCellVltg,abs(HiVltgBatMaxCellVltg-HiVltgBatMinCellVltg))",,,0,,,,"159857,160111,162181,163577,163960,163962,166904,167798",
2665,718,电芯分布统计1_Soc<=30_time,电芯分布统计1_Soc<=30_time,1,"HVBSOC_BatSOC<=30&&Debounce(HiVltgBatPrcdCurr>-4&&HiVltgBatPrcdCurr<2,120)","HVBSOC_BatSOC<=30&&Debounce(28,HiVltgBatPrcdCurr>-4&&HiVltgBatPrcdCurr<2,120)",,,,,,,time_accum(),time_accum(),,,0,,,,"159857,162181",
2667,718,电芯分布统计2_Soc->30-80_time,小电流时电芯电压分布Soc->30-80,1,"HVBSOC_BatSOC>=30&&HVBSOC_BatSOC<=80&&Debounce(HiVltgBatPrcdCurr>-4&&HiVltgBatPrcdCurr<2,120)","HVBSOC_BatSOC>=30&&HVBSOC_BatSOC<=80&&Debounce(47,HiVltgBatPrcdCurr>-4&&HiVltgBatPrcdCurr<2,120)",,,,,,,time_accum(),time_accum(),,,0,,,,"159857,162181",
2668,718,电芯分布统计3_Soc->80-100,小电流时电芯电压分布Soc->80-100,1,"HVBSOC_BatSOC>=80&&HVBSOC_BatSOC<=100&&Debounce(HiVltgBatPrcdCurr>-4&&HiVltgBatPrcdCurr<2,120)","HVBSOC_BatSOC>=80&&HVBSOC_BatSOC<=100&&Debounce(48,HiVltgBatPrcdCurr>-4&&HiVltgBatPrcdCurr<2,120)",,,,,,,"range_max_min(HiVltgBatPrcdCurr,HVBSOC_BatSOC,HiVltgBatAvgTemp,OtsAirTmpCrVal,HiVltgBatMinCellVltg,HiVltgBatMaxCellVltg,abs(HiVltgBatMaxCellVltg-HiVltgBatMinCellVltg))","range_max_min(HiVltgBatPrcdCurr,HVBSOC_BatSOC,HiVltgBatAvgTemp,OtsAirTmpCrVal,HiVltgBatMinCellVltg,HiVltgBatMaxCellVltg,abs(HiVltgBatMaxCellVltg-HiVltgBatMinCellVltg))",,,0,,,,"163962,163960,167798,166904,162181,159857,163577,160111",
2669,718,电芯分布统计3_Soc->80-100_time,小电流时电芯电压分布Soc->80-100,1,"HVBSOC_BatSOC>=80&&HVBSOC_BatSOC<=100&&Debounce(HiVltgBatPrcdCurr>-4&&HiVltgBatPrcdCurr<2,120)","HVBSOC_BatSOC>=80&&HVBSOC_BatSOC<=100&&Debounce(48,HiVltgBatPrcdCurr>-4&&HiVltgBatPrcdCurr<2,120)",,,,,,,time_accum(),time_accum(),,,0,,,,"159857,162181",
2677,721,电机B响应水平,电机B响应水平,1,PrplsnSysAtv == 1&&abs(CmndMtrBTorqImmed - MtrBTorqAchvd)>15,PrplsnSysAtv == 1&&abs(CmndMtrBTorqImmed - MtrBTorqAchvd)>15,,,,,,,time_accum(),time_accum(),,,0,,,,"160281,163785,170001","159857,160134,160366,162178,162181,163785,163786,163789,163792,163817,166625,167073,168368"
2678,721,电机C响应水平,电机C响应水平,1,PrplsnSysAtv == 1&&abs(CmndMtrCTorqImmed - MtrCTorqAchvd)>15,PrplsnSysAtv == 1&&abs(CmndMtrCTorqImmed - MtrCTorqAchvd)>15,,,,,,,time_accum(),time_accum(),,,0,,,,"170016,160281,163817","160134,162178,159857,162181,160366,166625,167073,163792,163786,168368,163789,163785,163817"
